,EURUSD_Close_lag_1,EURUSD_Close_lag_2,EURUSD_Close_lag_3,EURUSD_Close_lag_4,EURUSD_Close_lag_5,EURUSD_Close_lag_6,EURUSD_Close_lag_7,EURUSD_Close_lag_8,EURUSD_Close_lag_9,EURUSD_Close_lag_10,EURUSD_Close_lag_11,EURUSD_Close_lag_12,EURUSD_Close_lag_13,EURUSD_Close_lag_14,EURUSD_Close_lag_15,EURUSD_Close_lag_16,EURUSD_Close_lag_17,EURUSD_Close_lag_18,EURUSD_Close_lag_19,EURUSD_Close_lag_20,EURUSD_Close_frac_diff,EURUSD_Close_frac_diff_d,EURUSD_Close_SMA,EURUSD_Close_slope,EURUSD_Close_volatility,EURUSD_Close_regime,EURUSD_Close_regime_label,EURUSD_Close_trend,EURUSD_Close_detail_1,EURUSD_Close_detail_2,EURUSD_Close_detail_3,EURUSD_Close_details,GBPUSD_Close_lag_1,GBPUSD_Close_lag_2,GBPUSD_Close_lag_3,GBPUSD_Close_lag_4,GBPUSD_Close_lag_5,GBPUSD_Close_lag_6,GBPUSD_Close_lag_7,GBPUSD_Close_lag_8,GBPUSD_Close_lag_9,GBPUSD_Close_lag_10,GBPUSD_Close_lag_11,GBPUSD_Close_lag_12,GBPUSD_Close_lag_13,GBPUSD_Close_lag_14,GBPUSD_Close_lag_15,GBPUSD_Close_lag_16,GBPUSD_Close_lag_17,GBPUSD_Close_lag_18,GBPUSD_Close_lag_19,GBPUSD_Close_lag_20,GBPUSD_Close_frac_diff,GBPUSD_Close_frac_diff_d,GBPUSD_Close_SMA,GBPUSD_Close_slope,GBPUSD_Close_volatility,GBPUSD_Close_regime,GBPUSD_Close_regime_label,GBPUSD_Close_trend,GBPUSD_Close_detail_1,GBPUSD_Close_detail_2,GBPUSD_Close_detail_3,GBPUSD_Close_details,USDJPY_Close_lag_1,USDJPY_Close_lag_2,USDJPY_Close_lag_3,USDJPY_Close_lag_4,USDJPY_Close_lag_5,USDJPY_Close_lag_6,USDJPY_Close_lag_7,USDJPY_Close_lag_8,USDJPY_Close_lag_9,USDJPY_Close_lag_10,USDJPY_Close_lag_11,USDJPY_Close_lag_12,USDJPY_Close_lag_13,USDJPY_Close_lag_14,USDJPY_Close_lag_15,USDJPY_Close_lag_16,USDJPY_Close_lag_17,USDJPY_Close_lag_18,USDJPY_Close_lag_19,USDJPY_Close_lag_20,USDJPY_Close_frac_diff,USDJPY_Close_frac_diff_d,USDJPY_Close_SMA,USDJPY_Close_slope,USDJPY_Close_volatility,USDJPY_Close_regime,USDJPY_Close_regime_label,USDJPY_Close_trend,USDJPY_Close_detail_1,USDJPY_Close_detail_2,USDJPY_Close_detail_3,USDJPY_Close_details
2020-02-09,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,1.1091,1.1082,-0.0011333333333334306,1.0,1.1023900000000002,-1.0075340559082435,0.005085262504223165,-1,downtrend,1.0913492420672073,-0.0007579763508666049,0.0013051235421091022,9.129036332235007e-05,0.0006384375545648473,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,1.3068333333333333,1.3076,1.3121,1.314,1.3047,0.0007333333333332526,1.0,1.303715,-0.2688891778799607,0.00837690695754935,0,sideways,1.293320845103453,-0.0012556128674905557,-0.0009431927758716544,6.514297173423798e-05,-0.002133662671627972,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,109.14333333333333,109.27,109.48,109.83,109.86,0.006666666666660603,1.0,109.25699999999999,-0.06722735192833396,0.5066342325722171,0,sideways,109.93416393731397,0.008699568411285646,-0.20467351709099899,0.039810273393157916,-0.15616367528655545
2020-02-10,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,1.1091,-0.0011333333333332085,1.0,1.1015249999999999,-1.028329604571565,0.005499461696146799,-1,downtrend,1.0895906391268502,3.120917310912721e-05,0.000875335909958709,-0.0009963892584502788,-8.984417538244267e-05,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,1.3068333333333333,1.3076,1.3121,1.314,0.0007333333333334746,1.0,1.303045,-0.24115847940010537,0.008818231214613633,0,sideways,1.2944598927393836,0.0007762575568858725,-0.0010234478896936313,0.0001779605399092028,-6.922979289855597e-05,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,109.14333333333333,109.27,109.48,109.83,0.006666666666674814,1.0,109.251,-0.1256987708945556,0.4997813557034472,0,sideways,109.9414505324125,-0.10994698126010397,0.011809788670382678,0.0018100113657687435,-0.09632718122395253
2020-02-11,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,-0.0011333333333334306,1.0,1.1006399999999998,-1.0727366694380347,0.005638719526165108,-1,downtrend,1.0877833463481508,9.596799629099776e-05,-0.0007472504278298017,0.0009028157900816985,0.00025153335854289456,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,1.3068333333333333,1.3076,1.3121,0.0007333333333332526,1.0,1.3020999999999998,-0.31197963519438154,0.008592264983335882,0,sideways,1.2959009885053865,0.0024307449881609683,0.0004472248466172262,0.0008872975934241422,0.003765267428202337,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,109.14333333333333,109.27,109.48,0.006666666666660603,1.0,109.24799999999998,-0.18592710013114466,0.496290803263079,0,sideways,109.94332914185874,-0.22333896843337397,0.19726865880219535,-0.07331333982277191,-0.09938364945395053
2020-02-12,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,0.0004999999999999449,1.0,1.0997350000000001,-1.1069695920578604,0.006283920583103909,-1,downtrend,1.0860080029989632,-7.329808756362652e-05,-0.001669895701393364,-3.206391661263547e-05,-0.001775257705569626,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,1.3068333333333333,1.3076,0.0038000000000000256,1.0,1.301295,-0.386956022505458,0.008357041888300389,0,sideways,1.2975720541651543,0.003817163652326362,0.0009129409540416319,-0.0027789583401646176,0.0019511462662033761,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,109.14333333333333,109.27,0.030000000000001137,1.0,109.27799999999999,-0.22233077523593492,0.5281639830416891,0,sideways,109.94162178117007,-0.3239141790084383,0.30562885702120324,0.16274116777245304,0.144455845785218
2020-02-13,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,-0.0042999999999999705,1.0,1.0988200000000001,-1.1240471094967286,0.007161784546798229,-1,downtrend,1.0843366903600864,-0.0001500442123398218,-0.0011355357110341203,-0.000264809210006939,-0.001550389133380881,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,1.3068333333333333,0.0009000000000001229,1.0,1.30114,-0.3847140292382756,0.008262156381367741,0,sideways,1.2992512948927597,0.004654115151401284,5.100967517478286e-05,0.002197841228477894,0.006902966055053961,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,109.14333333333333,0.3100000000000023,1.0,109.30499999999999,-0.2476203803132737,0.5413709044087597,0,sideways,109.95048503766928,-0.39004073777949133,0.2665683059247961,-0.11333645918284062,-0.23680889103753588
2020-02-14,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,-0.0030999999999998806,1.0,1.0978666666666665,-1.1383675644036861,0.00793422521892236,-1,downtrend,1.082882999398476,-0.00012031182813559152,0.000178380106060445,-5.11104367131444e-05,6.957841211709077e-06,1.3046,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,1.3060666666666667,0.008499999999999952,1.0,1.3010283333333335,-0.3659296169417625,0.008195985859585572,0,sideways,1.3005413786254707,0.004187040458577453,-0.0004097007603673865,0.0006435802806642114,0.004420919978874278,109.74,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,109.01666666666667,-0.269999999999996,1.0,109.33483333333334,-0.2602927381062714,0.5483878285723754,0,sideways,109.99861563063973,-0.3706734507728741,0.08181852918397757,-0.08701260581454492,-0.3758675274034414
2020-02-15,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,-0.001000000000000112,1.0,1.0969316666666666,-1.1448208945584182,0.008522227387786968,-1,downtrend,1.081751154935039,0.00020639899662212686,0.0016192053781454918,0.00019226565693212372,0.0020178700316997424,1.3032666666666666,1.3046,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,1.3053,9.999999999998899e-05,1.0,1.3008883333333334,-0.33607221977487445,0.008129034490908885,0,sideways,1.301190754245696,0.0022519048267058924,-0.00023434809744739694,-0.001052051657014643,0.0009655050722438524,109.78666666666666,109.74,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,108.89,-0.07000000000000739,1.0,109.37333333333333,-0.2550469815387202,0.5518930738035147,0,sideways,110.10032028719655,-0.24459417797779637,-0.1721618077018688,0.07690595761587182,-0.3398500280637934
2020-02-16,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,0.00013333333333331865,1.0,1.096015,-1.1673099119896335,0.008967990347743343,-1,downtrend,1.080942266394767,0.0005147733832287226,0.0013401640366800679,-0.0003100926431406864,0.0015448447767681041,1.3019333333333334,1.3032666666666666,1.3046,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,1.3027,-0.0013333333333334085,1.0,1.3007199999999999,-0.3222407418051021,0.008067495970130421,0,sideways,1.3010792014343693,-0.0008150374112589854,-1.4645560468566749e-05,-0.0012749776416210942,-0.0021046606133486466,109.83333333333333,109.78666666666666,109.74,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,109.13,0.046666666666666856,1.0,109.42049999999999,-0.23341372126207682,0.5487127679892272,0,sideways,110.25848502370775,-0.03311431920566023,-0.36369311907956375,0.14976903181646872,-0.24703840646875525
2020-02-17,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,0.00013333333333331865,1.0,1.095085,-1.2142042046105472,0.009273880033579198,-1,downtrend,1.0804835258588168,0.000534533418615757,-0.0010664421482801541,0.0006027961853240302,7.088745565963302e-05,1.3006,1.3019333333333334,1.3032666666666666,1.3046,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,1.302,-0.0013333333333331865,1.0,1.300615,-0.30354713220780427,0.008054024274705428,0,sideways,1.3002224538627405,-0.004199102746396243,0.0003449827154237043,0.0003504815373579158,-0.003503638493614623,109.88,109.83333333333333,109.78666666666666,109.74,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,108.99,0.046666666666666856,1.0,109.458,-0.19967723406000282,0.5534225250458148,0,sideways,110.46240778680446,0.22135453105531744,-0.3482277381930688,0.018322414577464263,-0.10855079256028709
2020-02-18,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,0.00013333333333331865,1.0,1.093995,-1.2697811048990815,0.00981951913997717,-1,downtrend,1.0804381362135154,0.00038275263957233534,-0.0020210497224332283,-0.0008516171291520846,-0.0024899142120129777,1.2998,1.3006,1.3019333333333334,1.3032666666666666,1.3046,1.3045,1.296,1.2951,1.2913,1.2905666666666666,1.2898333333333332,1.2891,1.2928,1.3,1.3029,1.2993,1.3061666666666667,1.3130333333333333,1.3199,1.3094,-0.0013333333333334085,1.0,1.300505,-0.29478284202858474,0.008049134747004739,0,sideways,1.2989534239511915,-0.00605448605307316,0.0005634524942962473,0.0034316661682321056,-0.0020593673905448073,109.86,109.88,109.83333333333333,109.78666666666666,109.74,109.81,110.08,109.77,109.74,109.73333333333333,109.72666666666666,109.72,109.99,109.8,109.51,108.67,108.57333333333334,108.47666666666666,108.38,108.95,0.046666666666666856,1.0,109.50150000000001,-0.13634166583067486,0.5488738870265801,0,sideways,110.6711650997371,0.42905307727226377,-0.04799923534505919,-0.4755345796667504,-0.0944807377395458
